bowtie2_Mutect2	bowtie2_TNscope	bwa_Mutect2	bwa_TNscope	dragmap_Mutect2	dragmap_TNscope	hisat2_Mutect2	hisat2_TNscope	Total_Variants	TP	Recall	Precision	F1score
0	0	1	1	0	0	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	1	1	0	0	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	1	0	1	1	0	0	735	509	0.9443413729128015	0.6925170068027211	0.7990580847723704
0	0	1	0	1	0	1	0	966	500	0.9276437847866419	0.5175983436853002	0.6644518272425249
0	0	1	0	1	0	0	1	635	454	0.8423005565862709	0.7149606299212599	0.7734241908006815
0	0	1	0	0	1	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	1	0	0	1	0	1	618	453	0.8404452690166976	0.7330097087378641	0.7830596369922213
0	0	1	0	0	0	1	1	608	453	0.8404452690166976	0.7450657894736842	0.7898866608544028
0	0	0	1	1	1	0	0	725	509	0.9443413729128015	0.7020689655172414	0.805379746835443
0	0	0	1	1	0	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	0	1	1	0	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	0	1	0	1	1	0	662	478	0.8868274582560297	0.7220543806646526	0.7960033305578684
0	0	0	1	0	1	0	1	753	453	0.8404452690166976	0.601593625498008	0.7012383900928794
0	0	0	1	0	0	1	1	608	452	0.8385899814471243	0.743421052631579	0.7881429816913688
0	0	0	0	1	1	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	0	0	1	1	0	1	618	453	0.8404452690166976	0.7330097087378641	0.7830596369922213
0	0	0	0	1	0	1	1	608	453	0.8404452690166976	0.7450657894736842	0.7898866608544028
0	0	0	0	0	1	1	1	609	452	0.8385899814471243	0.7422003284072249	0.7874564459930313
1	1	1	1	0	0	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	1	0	1	0	0	0	681	494	0.9165120593692022	0.7254038179148311	0.8098360655737704
1	1	1	0	0	1	0	0	665	489	0.9072356215213359	0.7353383458646616	0.8122923588039868
1	1	1	0	0	0	1	0	645	474	0.8794063079777366	0.7348837209302326	0.8006756756756758
1	1	1	0	0	0	0	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	1	0	1	1	0	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	0	1	0	1	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	0	1	0	0	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	0	1	0	0	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	0	0	1	1	0	0	665	489	0.9072356215213359	0.7353383458646616	0.8122923588039868
1	1	0	0	1	0	1	0	645	474	0.8794063079777366	0.7348837209302326	0.8006756756756758
1	1	0	0	1	0	0	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	1	0	0	0	1	1	0	631	469	0.8701298701298701	0.7432646592709984	0.8017094017094016
1	1	0	0	0	1	0	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
1	1	0	0	0	0	1	1	601	451	0.8367346938775511	0.7504159733777038	0.7912280701754385
1	0	1	1	1	0	0	0	699	503	0.9332096474953617	0.7195994277539342	0.8126009693053311
1	0	1	1	0	1	0	0	698	503	0.9332096474953617	0.7206303724928367	0.8132578819725141
1	0	1	1	0	0	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	1	1	0	0	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	1	0	1	1	0	0	705	503	0.9332096474953617	0.7134751773049646	0.8086816720257235
1	0	1	0	1	0	1	0	944	499	0.9257884972170687	0.5286016949152542	0.6729602157788266
1	0	1	0	1	0	0	1	609	454	0.8423005565862709	0.7454844006568144	0.7909407665505226
1	0	1	0	0	1	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	1	0	0	1	0	1	607	453	0.8404452690166976	0.7462932454695222	0.7905759162303665
1	0	1	0	0	0	1	1	605	453	0.8404452690166976	0.7487603305785124	0.7919580419580419
1	0	0	1	1	1	0	0	698	503	0.9332096474953617	0.7206303724928367	0.8132578819725141
1	0	0	1	1	0	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	0	1	1	0	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	0	1	0	1	1	0	654	478	0.8868274582560297	0.7308868501529052	0.8013411567476949
1	0	0	1	0	1	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	0	1	0	0	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	0	0	1	1	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	0	0	1	1	0	1	607	453	0.8404452690166976	0.7462932454695222	0.7905759162303665
1	0	0	0	1	0	1	1	605	453	0.8404452690166976	0.7487603305785124	0.7919580419580419
1	0	0	0	0	1	1	1	603	452	0.8385899814471243	0.7495854063018242	0.7915936952714536
0	1	1	1	1	0	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	1	1	0	1	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	1	1	0	0	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	1	1	0	0	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	1	0	1	1	0	0	675	489	0.9072356215213359	0.7244444444444444	0.8056013179571665
0	1	1	0	1	0	1	0	648	474	0.8794063079777366	0.7314814814814815	0.7986520640269589
0	1	1	0	1	0	0	1	613	452	0.8385899814471243	0.7373572593800979	0.7847222222222222
0	1	1	0	0	1	1	0	634	469	0.8701298701298701	0.7397476340694006	0.7996589940323954
0	1	1	0	0	1	0	1	611	451	0.8367346938775511	0.7381342062193126	0.7843478260869566
0	1	1	0	0	0	1	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
0	1	0	1	1	1	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	0	1	1	0	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	0	1	1	0	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	0	1	0	1	1	0	636	469	0.8701298701298701	0.7374213836477987	0.7982978723404255
0	1	0	1	0	1	0	1	633	451	0.8367346938775511	0.7124802527646129	0.7696245733788397
0	1	0	1	0	0	1	1	603	450	0.8348794063079777	0.746268656716418	0.788091068301226
0	1	0	0	1	1	1	0	634	469	0.8701298701298701	0.7397476340694006	0.7996589940323954
0	1	0	0	1	1	0	1	611	451	0.8367346938775511	0.7381342062193126	0.7843478260869566
0	1	0	0	1	0	1	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
0	1	0	0	0	1	1	1	604	450	0.8348794063079777	0.7450331125827815	0.7874015748031497
0	0	1	1	1	1	0	0	725	509	0.9443413729128015	0.7020689655172414	0.805379746835443
0	0	1	1	1	0	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	1	1	1	0	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	1	1	0	1	1	0	659	478	0.8868274582560297	0.7253414264036419	0.7979966611018364
0	0	1	1	0	1	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	1	1	0	0	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
0	0	1	0	1	1	1	0	660	478	0.8868274582560297	0.7242424242424242	0.7973311092577148
0	0	1	0	1	1	0	1	618	453	0.8404452690166976	0.7330097087378641	0.7830596369922213
0	0	1	0	1	0	1	1	608	453	0.8404452690166976	0.7450657894736842	0.7898866608544028
0	0	1	0	0	1	1	1	606	452	0.8385899814471243	0.7458745874587459	0.7895196506550218
0	0	0	1	1	1	1	0	659	478	0.8868274582560297	0.7253414264036419	0.7979966611018364
0	0	0	1	1	1	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	0	1	1	0	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
0	0	0	1	0	1	1	1	608	452	0.8385899814471243	0.743421052631579	0.7881429816913688
0	0	0	0	1	1	1	1	606	452	0.8385899814471243	0.7458745874587459	0.7895196506550218
1	1	1	1	1	0	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	1	1	0	1	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	1	1	0	0	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	1	1	0	0	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	1	0	1	1	0	0	665	489	0.9072356215213359	0.7353383458646616	0.8122923588039868
1	1	1	0	1	0	1	0	645	474	0.8794063079777366	0.7348837209302326	0.8006756756756758
1	1	1	0	1	0	0	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	1	1	0	0	1	1	0	631	469	0.8701298701298701	0.7432646592709984	0.8017094017094016
1	1	1	0	0	1	0	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
1	1	1	0	0	0	1	1	601	451	0.8367346938775511	0.7504159733777038	0.7912280701754385
1	1	0	1	1	1	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	0	1	1	0	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	0	1	1	0	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	0	1	0	1	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	0	1	0	1	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	0	1	0	0	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	0	0	1	1	1	0	631	469	0.8701298701298701	0.7432646592709984	0.8017094017094016
1	1	0	0	1	1	0	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
