DRAGEN-A_DRAGEN-C	Bowtie2_Mutect2	Bowtie2_TNscope	BWA_Mutect2	BWA_TNscope	DRAGMAP_Mutect2	DRAGMAP_TNscope	HISAT2_Mutect2	HISAT2_TNscope	Total_Variants	TP	Recall	Precision	F1score
0	0	1	1	0	1	0	0	0	37791	37499	0.8998392244378854	0.99227329258289	0.943798449612403
0	0	1	1	0	0	1	0	0	37295	37018	0.8882969788592134	0.9925727309290788	0.9375443217505826
0	0	1	1	0	0	0	1	0	37746	37469	0.8991193338612531	0.9926614740634768	0.943577733288004
0	0	1	1	0	0	0	0	1	36815	36552	0.8771146785688575	0.9928561727556704	0.931403526653756
0	0	1	0	1	1	0	0	0	37302	37028	0.8885369423847576	0.992654549353922	0.9377144666033556
0	0	1	0	1	0	1	0	0	37661	37289	0.894799990401459	0.9901224077958632	0.9400509239418156
0	0	1	0	1	0	0	1	0	37290	37016	0.8882489861541045	0.9926521855725396	0.9375530311664956
0	0	1	0	1	0	0	0	1	37001	36652	0.8795143138242987	0.990567822491284	0.9317436510155832
0	0	1	0	0	1	1	0	0	37293	37017	0.888272982506659	0.9925991472930576	0.9375427399133804
0	0	1	0	0	1	0	1	0	37744	37468	0.8990953375086986	0.9926875794828316	0.9435763123764432
0	0	1	0	0	1	0	0	1	36813	36551	0.8770906822163032	0.9928829489582484	0.9314017786611626
0	0	1	0	0	0	1	1	0	37282	37005	0.8879850262760061	0.9925701410868516	0.937369387625863
0	0	1	0	0	0	1	0	1	36995	36642	0.8792743502987546	0.990458170022976	0.9315604820257284
0	0	1	0	0	0	0	1	1	36817	36551	0.8770906822163032	0.992775076730858	0.9313543126512932
0	0	0	1	1	1	0	0	0	38151	37787	0.906750173973556	0.9904589656889728	0.9467578673080778
0	0	0	1	1	0	1	0	0	38115	37751	0.9058863052815972	0.9904499540863178	0.9462826490199028
0	0	0	1	1	0	0	1	0	38071	37741	0.9056463417560532	0.9913319849754406	0.9465539727126806
0	0	0	1	1	0	0	0	1	36827	36519	0.876322798934562	0.9916365709941076	0.9304203821656052
0	0	0	1	0	1	1	0	0	38168	37777	0.906510210448012	0.9897558163906938	0.9463057827432022
0	0	0	1	0	1	0	1	0	41273	40557	0.9732200705492764	0.9826520970125748	0.9779133412099438
0	0	0	1	0	1	0	0	1	37027	36718	0.8810980730928899	0.9916547384341156	0.933113087674714
0	0	0	1	0	0	1	1	0	38062	37731	0.905406378230509	0.9913036624454836	0.9464099830689158
0	0	0	1	0	0	1	0	1	36811	36510	0.8761068317615722	0.9918230963570672	0.9303807145405432
0	0	0	1	0	0	0	1	1	37007	36700	0.8806661387469105	0.9917042721647256	0.932892730045755
0	0	0	0	1	1	1	0	0	38110	37750	0.9058623089290428	0.9905536604565732	0.94631688454934
0	0	0	0	1	1	0	1	0	38062	37740	0.9056223454034986	0.9915401187536124	0.9466357308584686
0	0	0	0	1	1	0	0	1	36819	36518	0.8762988025820075	0.991824873027513	0.9304897314375988
0	0	0	0	1	0	1	1	0	38060	37722	0.9051904110575192	0.9911192853389386	0.9462079690968608
0	0	0	0	1	0	1	0	1	37180	36778	0.8825378542461546	0.9891877353415814	0.9328243693962184
0	0	0	0	1	0	0	1	1	36827	36515	0.8762268135243443	0.991527955032992	0.9303184713375796
0	0	0	0	0	1	1	1	0	38060	37730	0.9053823818779544	0.9913294797687862	0.946408638832102
0	0	0	0	0	1	1	0	1	36808	36509	0.8760828354090179	0.991876765920452	0.9303907952243218
0	0	0	0	0	1	0	1	1	36998	36699	0.880642142394356	0.9919184820801124	0.9329740310915076
